"syn"	"gene"
"HSPC280::hypothetical protein LOC58527::OTTHUMP00000017303::RP11-501K14.2::PRO2013::Costars::costars family protein ABRACL::ABRA C-terminal like::ABRA C-terminal-like protein::C6orf115"	"ABRACL"
"basal transcriptional activator::activator of basal transcription 1::OTTHUMP00000017935::hABT1::TATA-binding protein-binding protein"	"ABT1"
"elongation factor 1A binding protein::elongation factor 1A-binding protein::EF1ABP::BPOZ::BTB3::ankyrin repeat and BTB (POZ) domain containing 1::ankyrin repeat and BTB/POZ domain-containing protein 1::PP2259::MGC20585"	"ABTB1"
"RP1-53C18.4::DKFZp586C1619::ankyrin repeat and BTB (POZ) domain containing 2::ankyrin repeat and BTB/POZ domain-containing protein 2"	"ABTB2"
"peroxisomal 3-oxoacyl-CoA thiolase::peroxisomal 3-oxoacyl-Coenzyme A thiolase::ACAA::acetyl-CoA acyltransferase 1::acetyl-Coenzyme A acyltransferase 1::3-ketoacyl-CoA thiolase, peroxisomal::PTHIO::THIO"	"ACAA1"
"mitochondrial 3-oxoacyl-CoA thiolase::mitochondrial 3-oxoacyl-Coenzyme A thiolase::acetyl-CoA acyltransferase 2::acetyl-coenzyme A acyltransferase 2::DSAEC::beta ketothiolase::3-ketoacyl-CoA thiolase, mitochondrial::FLJ35992::FLJ95265"	"ACAA2"
"OTTHUMP00000164069::ACAC::ACACAD::ACC::ACC-alpha::ACC1::ACCA::acetyl-CoA carboxylase 1::acetyl-CoA carboxylase alpha::acetyl-CoA carboxylase-alpha::acetyl-Coenzyme A carboxylase alpha"	"ACACA"
"ACC-beta::ACC2::ACCB::acetyl-CoA carboxylase 2::acetyl-CoA carboxylase beta::acetyl-Coenzyme A carboxylase beta::HACC275"	"ACACB"
"MGC5601::ACAD-10::acyl-CoA dehydrogenase family member 10::acyl-CoA dehydrogenase family, member 10::acyl-Coenzyme A dehydrogenase family, member 10"	"ACAD10"
"FLJ12592::MGC150619::putative acyl-CoA dehydrogenase::62113 protein::acyl-CoA dehydrogenase family member 11::acyl-CoA dehydrogenase family, member 11::acyl-Coenzyme A dehydrogenase family, member 11::ACAD-11"	"ACAD11"
"isobutyryl-CoA dehydrogenase, mitochondrial::FLJ22590::ARC42::ACAD-8::activator-recruited cofactor 42 kDa component::acyl-CoA dehydrogenase family, member 8::acyl-coenzyme A dehydrogenase 8::acyl-Coenzyme A dehydrogenase family, member 8"	"ACAD8"
"acyl-CoA dehydrogenase 9::acyl-CoA dehydrogenase family member 9, mitochondrial::acyl-CoA dehydrogenase family, member 9::acyl-Coenzyme A dehydrogenase family, member 9::ACAD-9::very-long-chain acyl-CoA dehydrogenase VLCAD::MGC14452::NPD002::FLJ23533"	"ACAD9"
"LCAD::FLJ94052::long-chain acyl-CoA dehydrogenase::long-chain specific acyl-CoA dehydrogenase, mitochondrial::ACAD4::acyl-CoA dehydrogenase, long chain::acyl-Coenzyme A dehydrogenase, long chain"	"ACADL"
"acyl-CoA dehydrogenase, C-4 to C-12 straight chain::acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain::ACAD1::FLJ93013::FLJ99884::FLJ18227::RP4-682C21.1::OTTHUMP00000011345::MCAD::MCADH::medium-chain acyl-CoA dehydrogenase::medium-chain specific acyl-CoA dehydrogenase::medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADM"
"mitochondrial short-chain specific acyl-CoA dehydrogenase::ACAD3::acyl-CoA dehydrogenase, C-2 to C-3 short chain::acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain::butyryl-CoA dehydrogenase::SCAD::unsaturated acyl-CoA reductase::short chain acyl-CoA dehydrogenase::short-chain acyl-CoA dehydrogenase::short-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADS"
"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial::SBCAD::RP11-162A23.1::OTTHUMP00000020685::OTTHUMP00000046795::acyl-CoA dehydrogenase, short/branched chain::acyl-Coenzyme A dehydrogenase, short/branched chain::ACAD7::2-MEBCAD::2-methyl branched chain acyl-CoA dehydrogenase::2-methylbutyryl-CoA dehydrogenase::2-methylbutyryl-coenzyme A dehydrogenase"	"ACADSB"
"ACAD6::Acyl-Coa dehydrogenase, Very long chain::acyl-Coenzyme A dehydrogenase, very long chain::very long-chain specific acyl-CoA dehydrogenase, mitochondrial::VLCAD::LCACD"	"ACADVL"
"large aggregating proteoglycan::CSPG1::CSPGCP::chondroitin sulfate proteoglycan 1::chondroitin sulfate proteoglycan core protein 1::cartilage-specific proteoglycan core protein::AGC1::AGCAN::aggrecan::aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)::aggrecan core protein::aggrecan proteoglycan::SEDK::MSK16"	"ACAN"
"centaurin beta1::centaurin, beta 1::centaurin-beta-1::CENTB1::Cnt-b1::Arf GAP with coiled coil, ANK repeat and PH domains 1::arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1::ArfGAP with coiled-coil, ankyrin repeat and PH domains 1::KIAA0050"	"ACAP1"
"KIAA0041::Arf GAP with coiled coil, ANK repeat and PH domains 2::arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2::ArfGAP with coiled-coil, ankyrin repeat and PH domains 2::CNT-B2::centaurin, beta 2::centaurin-beta-2::CENTB2"	"ACAP2"
"cnt-b5::centaurin, beta 5::centaurin-beta-5::CENTB5::arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3::ArfGAP with coiled-coil, ankyrin repeat and PH domains 3::KIAA1716::OTTHUMP00000002288"	"ACAP3"
"THIL::T2::ACAT::acetoacetyl Coenzyme A thiolase::acetoacetyl-CoA thiolase::acetyl-CoA acetyltransferase 1::acetyl-CoA acetyltransferase, mitochondrial::acetyl-Coenzyme A acetyltransferase 1::mitochondrial acetoacetyl-CoA thiolase::MAT"	"ACAT1"
"OTTHUMP00000017527::acetoacetyl Coenzyme A thiolase::acetyl-CoA acetyltransferase 2::acetyl-CoA acetyltransferase, cytosolic::acetyl-CoA transferase-like protein::acetyl-Coenzyme A acetyltransferase 2::cytosolic acetoacetyl-CoA thiolase"	"ACAT2"
"OTTHUMP00000035668::PBR associated protein::PBR- and PKA-associated protein 7::PAP7::peripheral benzodiazepine receptor-associated protein PAP7::peripherial benzodiazepine receptor associated protein::PKA (RIalpha)-associated protein::acyl-CoA binding domain containing 3::acyl-Coenzyme A binding domain containing 3::GCP60::GOCAP1::golgi complex associated protein 1, 60kDa::golgi phosphoprotein 1::golgi resident protein GCP60::GOLPH1"	"ACBD3"
"acyl-CoA binding domain containing 4::acyl-CoA-binding domain-containing protein 4::acyl-Coenzyme A binding domain containing 4::FLJ13322::FLJ90623::HMFT0700"	"ACBD4"
"RP11-85G18.5::DKFZp434A2417::acyl-CoA binding domain containing 5::acyl-CoA-binding domain-containing protein 5::acyl-Coenzyme A binding domain containing 5::membrane-associated diazepam binding inhibitor::OTTHUMP00000019363::endozepine-related protein::KIAA1996"	"ACBD5"
"acyl-CoA binding domain containing 6::Acyl-CoA-binding domain-containing protein 6::acyl-coenzyme A binding domain containing 6::MGC2404::OTTHUMP00000033086"	"ACBD6"
"OTTHUMP00000019197::MGC33893::bA455B2.2::acyl-CoA binding domain containing 7::acyl-CoA-binding domain-containing protein 7::acyl-Coenzyme A binding domain containing 7::FLJ52263::FLJ38219::RP11-455B2.6"	"ACBD7"
"1-aminocyclopropane-1-carboxylate synthase homolog::1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)::1-aminocyclopropane-1-carboxylate synthase-like protein 1::ACC synthase-like protein 1::ACS::PHACS"	"ACCS"
"LOC390110::ACC synthase-like protein 2::1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like::1-aminocyclopropane-1-carboxylate synthase-like protein 2"	"ACCSL"
"POT1 and TIN2 organizing protein::POT1 and TIN2-interacting protein::PIP1::TPP1::TIN2 interacting protein 1::TINT1::PTOP::adrenocortical dysplasia homolog::adrenocortical dysplasia homolog (mouse)::adrenocortical dysplasia protein homolog"	"ACD"
"DCP::DCP1::dipeptidyl carboxypeptidase 1::dipeptidyl carboxypeptidase I::CD143::CD143 antigen::carboxycathepsin::ACE1::angiotensin converting enzyme, somatic isoform::angiotensin I converting enzyme (peptidyl-dipeptidase A) 1::angiotensin I converting enzyme 1::angiotensin I converting enzyme peptidyl-dipeptidase A 1 transcript::angiotensin-converting enzyme::testicular ECA::kininase II::ICH::MGC26566::peptidase P::MVCD3"	"ACE"
"UNQ868/PRO1885::OTTHUMP00000022963::metalloprotease MPROT15::angiotensin converting enzyme-like protein::angiotensin I converting enzyme (peptidyl-dipeptidase A) 2::angiotensin I converting enzyme 2::angiotensin-converting enzyme 2::angiotensin-converting enzyme homolog::ACE-related carboxypeptidase::ACEH::DKFZp434A014"	"ACE2"
"ASAH3::alkaline CDase 1::alkaline ceramidase 1::alkCDase 1::ALKCDase1::acylsphingosine deacylase 3::MGC138327::MGC138329::N-acylsphingosine amidohydrolase (alkaline ceramidase) 3::N-acylsphingosine amidohydrolase 3"	"ACER1"
"alkaline CDase 2::alkaline ceramidase 2::alkCDase 2::ALKCDase2::ceramide hydrolase::ASAH3L::RP11-363E7.1::haCER2::FLJ41587::N-acylsphingosine amidohydrolase 3-like::OTTHUMP00000021124"	"ACER2"
"FLJ11238::APHC::alkaline CDase 3::alkaline ceramidase 3::alkaline dihydroceramidase SB89::alkaline phytoceramidase::alkCDase 3::PHCA::phytoceramidase, alkaline"	"ACER3"
"OTTHUMP00000211347::OTTHUMP00000211349::OTTHUMP00000211356::N-ACHE::YT::Yt blood group::apoptosis-related acetylcholinesterase::ARACHE::ACEE::acetylcholinesterase"	"ACHE"
"KIAA0670::fSAP152::functional spliceosome-associated protein 152::OTTHUMP00000164548::apoptotic chromatin condensation inducer 1::apoptotic chromatin condensation inducer in the nucleus::ACINUS::ACN::DKFZp667N107"	"ACIN1"
"ACL::CLATP::citrate cleavage enzyme::ATP citrate lyase::ATP citrate synthase::ATP-citrate (pro-S-)-lyase::ATP-citrate synthase::ATPCL::OTTHUMP00000164773"	"ACLY"
"2-amino-3-carboxymuconate-6-semialdehyde decarboxylase::aminocarboxymuconate semialdehyde decarboxylase::OTTHUMP00000162500::picolinate carboxylase"	"ACMSD"
"ACN9 homolog::ACN9 homolog (S. cerevisiae)::DC11::protein ACN9 homolog, mitochondrial"	"ACN9"
"OTTHUMP00000021176::OTTHUMP00000021177::OTTHUMP00000045233::aconitase 1::aconitase 1, soluble::aconitate hydratase::ACONS::cytoplasmic aconitate hydratase::citrate hydro-lyase::IRE-BP 1::IREB1::IREBP::IREBP1::iron regulatory protein 1::iron-responsive element binding protein 1::iron-responsive element-binding protein 1::IRP1::ferritin repressor protein::RP11-334P12.1"	"ACO1"
"aconitase 2, mitochondrial::aconitate hydratase::aconitate hydratase, mitochondrial::ACONM::citrate hydro-lyase::RP3-347H13.8::OTTHUMP00000042146::OTTHUMP00000165920::MGC20605::MGC33908::ICRD"	"ACO2"
"long chain acyl-CoA hydrolase::LACH2::inducible cytosolic acyl-coenzyme A thioester hydrolase::CTE-1::CTE-I::CTE-Ib::ACH2::acyl-CoA thioesterase 1::acyl-coenzyme A thioesterase 1"	"ACOT1"
"StAR-related lipid transfer (START) domain containing 14::STARD14::START domain containing 14::THEA::THEM1::thioesterase superfamily member 1::thioesterase, adipose associated::OTTHUMP00000046722::OTTHUMP00000011526::OTTHUMP00000011527::KIAA0707::BFIT::BFIT1::BFIT2::brown fat inducible thioesterase::brown fat-inducible thioesterase::acyl-CoA thioester hydrolase 11::acyl-CoA thioesterase 11::acyl-coenzyme A thioesterase 11::adipose-associated thioesterase"	"ACOT11"
"MGC105114::THEAL::StAR-related lipid transfer (START) domain containing 15::STARD15::START domain-containing protein 15::hCACH-1::acyl-CoA thioester hydrolase 12::acyl-CoA thioesterase 12::acyl-coenzyme A thioesterase 12::cytoplasmic acetyl-CoA hydrolase 1::cytosolic acetyl-CoA hydrolase::Cach::CACH-1"	"ACOT12"
"HT012::hypothalamus protein HT012::THEM2::thioesterase superfamily member 2::acyl-CoA thioesterase 13::acyl-coenzyme A thioesterase 13::OTTHUMP00000016090::OTTHUMP00000039398::PNAS-27::MGC4961"	"ACOT13"
"acyl-CoA thioesterase 2::acyl-coenzyme A thioester hydrolase 2a::CTE-IA::CTE1A::ZAP128::PTE2::PTE2A::peroxisomal long-chain acyl-coA thioesterase 2::mitochondrial acyl-CoA thioesterase 1::mitochondrial acyl-CoA thioesterase 2::MTE1::long-chain acyl-CoA thioesterase 2"	"ACOT2"
"acyl-CoA thioesterase 4::acyl-coenzyme A thioesterase 4::peroxisomal acyl coenzyme A thioester hydrolase Ib::peroxisomal acyl-CoA thioesterase 2B::peroxisomal long-chain acyl-CoA thioesterase Ib::PTE-2b::PTE-Ib::PTE1B::PTE2B"	"ACOT4"
"acyl-CoA thioesterase 6::C14orf42::c14_5530::putative acyl-coenzyme A thioesterase 6::MGC161656::MGC161658"	"ACOT6"
"RP1-120G22.10::RP1-120G22.10-004::OTTHUMP00000001410::OTTHUMP00000001413::OTTHUMP00000001414::MGC1126::cytosolic acyl coenzyme A thioester hydrolase::CTE-II::CTE-IIa::acyl-CoA thioesterase 2::acyl-CoA thioesterase 7::acyl-CoA thioesterase, long chain::ACH1::ACT::BACH::brain acyl CoA hydrolase::brain acyl-CoA hydrolase::LACH::LACH1::hBACH::long chain acyl-CoA thioester hydrolase"	"ACOT7"
"acyl-CoA thioesterase 8::acyl-coenzyme A thioesterase 8::choloyl-CoA hydrolase::choloyl-coenzyme A thioesterase::OTTHUMP00000031675::palmitoyl-CoA hydrolase::peroxisomal acyl-CoA thioesterase 1::peroxisomal acyl-coenzyme A thioester hydrolase 1::peroxisomal long-chain acyl-CoA thioesterase 1::hACTE-III::long-chain fatty-acyl-CoA hydrolase::HIV-Nef associated acyl-CoA thioesterase::HNAACTE::hTE::PTE-1::PTE-2::PTE1::PTE2::thioesterase II::thioesterase III::RP3-337O18.2"	"ACOT8"
"OTTHUMP00000023065::mitochondrial Acyl-CoA Thioesterase::MT-ACT48::MTACT48::CGI-16::ACATE2::acyl-CoA thioester hydrolase 9::acyl-CoA thioesterase 9::acyl-Coenzyme A thioesterase 2, mitochondrial::acyl-coenzyme A thioesterase 9, mitochondrial"	"ACOT9"
"SCOX::straight-chain acyl-CoA oxidase::ACOX::Aox::acyl-CoA oxidase 1, palmitoyl::acyl-CoA oxidase, straight-chain::acyl-Coenzyme A oxidase 1::acyl-Coenzyme A oxidase 1, palmitoyl::MGC1198::peroxisomal acyl-coenzyme A oxidase 1::peroxisomal fatty acyl-CoA oxidase::PALMCOX::palmitoyl-CoA oxidase"	"ACOX1"
"THCA-CoA oxidase::THCCox::trihydroxycoprostanoyl-CoA oxidase::acyl-CoA oxidase 2, branched chain::acyl-Coenzyme A oxidase 2::acyl-Coenzyme A oxidase 2, branched chain::3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase::3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase::BCOX::BRCACOX::BRCOX::peroxisomal acyl-coenzyme A oxidase 2::peroxisomal branched chain acyl-CoA oxidase"	"ACOX2"
"FLJ11042::acyl-CoA oxidase-like::acyl-CoA oxidase-like protein::acyl-Coenzyme A oxidase-like::acyl-coenzyme A oxidase-like protein"	"ACOXL"
"MGC111030::MGC3499::protein tyrosine phosphatase::red cell acid phosphatase 1::HAAP::LMW-PTP::LMW-PTPase::low molecular weight cytosolic acid phosphatase::low molecular weight phosphotyrosine protein phosphatase::adipocyte acid phosphatase::acid phosphatase 1, soluble::acid phosphatase of erythrocyte::cytoplasmic phosphotyrosyl protein phosphatase"	"ACP1"
"SPENCDI::tartrate resistant acid phosphatase 5::tartrate-resistant acid ATPase::tartrate-resistant acid phosphatase type 5::TRAP::TrATPase::MGC117378::acid phosphatase 5, tartrate resistant"	"ACP5"
"acid phosphatase 6, lysophosphatidic::acid phosphatase like 1::acid phosphatase-like protein 1::ACPL1::LPAP::lysophosphatidic acid phosphatase::lysophosphatidic acid phosphatase type 6::OTTHUMP00000015904::PACPL1::UNQ205/PRO231"	"ACP6"
"UNQ370/PRO706::FLJ23751::acid phosphatase-like 2::acid phosphatase-like protein 2"	"ACPL2"
"acid phosphatase, prostate::ACP-3::ACP3::5'-NT::TMPase::thiamine monophosphatase::prostatic acid phosphatase::prostatic acid phosphotase::PAP"	"ACPP"
"OY-TES-1::CT23::cancer/testis antigen 23::cancer/testis antigen OY-TES-1::acrosin binding protein::acrosin-binding protein::FLJ51160::proacrosin binding protein sp32::SP32"	"ACRBP"
"putative nuclear protein::NAAR1::OTTHUMP00000032171::OTTHUMP00000032172::acidic repeat containing::acidic repeat-containing protein::ACRC protein"	"ACRC"
"acrosomal protein SP-10::acrosomal vesicle protein 1::D11S4365::sperm protein 10::SP-10::SPACA2"	"ACRV1"
"KIAA0631::lipidosin::hsBG::FLJ30320::hBG1::GR-LACS::long-chain-fatty-acid--CoA ligase ACSBG1::LPD::BG::BG1::BGM::acyl-CoA synthetase bubblegum family member 1::bubblegum::very long-chain acyl-CoA synthetase::MGC14352::ortholog of rodent gonadotropin-regulated long chain acyl-CoA synthetase"	"ACSBG1"
"long-chain-fatty-acid--CoA ligase::long-chain-fatty-acid--CoA ligase ACSBG2::PRTD-NY3::PRTDNY3::UNQ2443/PRO5005::MGC111089::DKFZp434K1635::acyl-CoA synthetase bubblegum family member 2::BRGL::bubblegum-related acyl-CoA synthetase 2::bubblegum-related protein::BGR::BGR-like"	"ACSBG2"
"AVYV493::acyl-CoA synthetase family member 2::acyl-CoA synthetase family member 2, mitochondrial::ACSMW::FLJ20920::UNQ493/PRO1009::PPARG binding, long chain fatty acid acyl Co-A ligase like"	"ACSF2"
"FLJ39242::LOC197322::acyl-CoA synthetase family member 3::acyl-CoA synthetase family member 3, mitochondrial::PSEC0197"	"ACSF3"
"FACL1::FACL2::fatty-acid-Coenzyme A ligase, long-chain 1::fatty-acid-Coenzyme A ligase, long-chain 2::long-chain acyl-CoA synthetase 1::long-chain acyl-CoA synthetase 2::long-chain fatty acid-CoA ligase 2::long-chain fatty-acid-coenzyme A ligase 1::long-chain-fatty-acid--CoA ligase 1::LACS::LACS 1::LACS 2::LACS1::LACS2::lignoceroyl-CoA synthase::acyl-CoA synthetase 1::acyl-CoA synthetase long-chain family member 1::ACS1::palmitoyl-CoA ligase 1::palmitoyl-CoA ligase 2::paltimoyl-CoA ligase 1"	"ACSL1"
"OTTHUMP00000164212::lignoceroyl-CoA synthase::LACS 3::long-chain acyl-CoA synthetase 3::long-chain-fatty-acid--CoA ligase 3::fatty-acid-Coenzyme A ligase, long-chain 3::FACL3::PRO2194::ACS3::acyl-CoA synthetase long-chain family member 3"	"ACSL3"
"acyl-CoA synthetase 4::acyl-CoA synthetase long-chain family member 4::ACS4::FACL4::fatty-acid-Coenzyme A ligase, long-chain 4::long-chain acyl-CoA synthetase 4::long-chain fatty-acid-Coenzyme A ligase 4::long-chain-fatty-acid--CoA ligase 4::LACS 4::LACS4::lignoceroyl-CoA synthase::OTTHUMP00000023846::MRX63::MRX68"	"ACSL4"
"LACS 5::FACL5::FACL5 for fatty acid coenzyme A ligase 5::fatty acid coenzyme A ligase 5::fatty-acid-Coenzyme A ligase, long-chain 5::long-chain acyl-CoA synthetase 5::long-chain fatty acid coenzyme A ligase 5::long-chain-fatty-acid--CoA ligase 5::RP11-324O2.5::acyl-CoA synthetase long-chain family member 5::ACS2::ACS5::OTTHUMP00000020489::OTTHUMP00000020490"	"ACSL5"
